ID;Nombre;Columna1;the_geom;Interés;Tipo;Subgrupo_patrimonial;Latitud;Longitud;FechaLegal;FechaCreación;Acto administrativo;Registro;Estado del registro;Nombre carpeta;;Imagen Artística
I1;Leyenda de Antón García de Bonilla;;;Sin Definir;lenguas y tradición oral;Inmaterial;;;;;;;;;;
I2;Desfile de los genitores;;;Nacional;actos festivos y folclóricos;Inmaterial;;;2006;1959;"Ley 1046 del 26 de julio de 2006
Pero no aparece en la lista actual";;;;;
I3;Carnavales;;;Sin Definir;actos festivos y folclóricos;Inmaterial;;;;1945;;;;;;
I4;Manifestación religiosa de la Virgen de Torcoroma;;;Departamental;eventos religiosos colectivo;Inmaterial;;;2003;1711;Decreto 1144 de 2003;;;;;Devoción
I5;Culto a Jesús Cautivo;;;Sin Definir;eventos religiosos colectivo;Inmaterial;;;;1838;;;;;;
I6;El baile de la machetilla;;;Sin Definir;actos festivos y folclóricos;Inmaterial;;;;;;;;;;
I7;Porro Andino;;;Sin Definir;actos festivos y folclóricos;Inmaterial;;;;;;;;;;
I8;Arepa Ocañera;;;Sin Definir;cultura culinaria;Inmaterial;;;;;;;;;;Comida, cotidinanidad
I9;Pan Ocañero;;;Sin Definir;cultura culinaria;Inmaterial;;;;;;;;I9_Pan_Ocanero;;Desayuno, media tarde
I10;Semana Santa;;;Departamental;eventos religiosos colectivo;Inmaterial;;;2003;;Decreto 1144 de 2003;Si;Organizar los archivos, hay fotos de prosesión y visita a monutmentos en 2018;I10_Semana_Santa;;
I11;Corporación Banda Municipal de Ocaña, Corpobanda;;;Municipal;Patrimonio cultural, folclórico y Artistístico;Inmaterial;;;1998;;El Acuerdo 06 de 2007, modificatorio del Acuerdo 018 de 2002, sancionado el 31 de mayo 2007;;;;;
I12;Leyenda de Leonelda Hernández;;;Sin Definir;lenguas y tradición oral;Inmaterial;;;;;;;;;;
IM1;Complejo Histórico de la Gran Convención;-73.355183, 8.232277;8.232277, -73.355183;Nacional;Arquitectura Religiosa;Inmueble;8.232.277;-73.355.183;1937;1584;Ley 75 del 22 de septiembre de 1937;;;IM1_Complejo_Historico_Gran_Convencion;;
IM2;Santuario de Nuestra Señora de las Gracias de Torcoroma;-73.380951, 8.212204;8.212204, -73.380951;Nacional;Arquitectura Religiosa;Inmueble;8.212.204;-73.380.951;1972;1882;"Decreto 1425 de 16 de julio de 1972 (Lista del patrimonio Actualizada jul 2023)
Decreto 2861 del 26 de noviembre de 1984";;;;;
IM3;Museo Antón García de Bonilla;-73.353301, 8.238424;8.238424, -73.353301;Departamental;Arquitectura Habitacional;Inmueble;8.238.424;-73.353.301;2003;1973;Decreto 1144 de 2003;;;IM3_Museo_Anton_Garcia;;
IM4;Catedral de Santa Ana;-73.353772, 8.234808;8.234808, -73.353772;Departamental;Arquitectura Religiosa;Inmueble;8.234.808;-73.353.772;2003;1564;Decreto 1144 de 2003;;;IM4_Catedral_Santa_Ana;;
IM5;Iglesia de Jesús Cautivo;-73.354338, 8.230447;8.230447, -73.354338;Departamental;Arquitectura Religiosa;Inmueble;8.230.447;-73.354.338;2003;1895;Decreto 1144 de 2003;;;IM5_Iglesia_Jesus_Cautivo;;
IM6;Capilla de la Virgen de Torcoroma;-73.352856, 8.233643;8.233643, -73.352856;Departamental;Arquitectura Religiosa;Inmueble;8.233.643;-73.352.856;2003;1749;"Decreto 2861 de 26 de noviembre de 1984 (lista representativa actual. Jul 23)
Decreto 1144 de 2003";;;IM6_Capilla_Virgen_Torcoroma;;
IM7;Parroquia de San Agustín;-73.353154, 8.238878;8.238878, -73.353154;Departamental;Arquitectura Religiosa;Inmueble;8.238.878;-73.353.154;2003;1596;Decreto 1144 de 2003;;;IM_7_Parroquia_San_Agustin;;
IM8;Molino;-73.357789, 8.231234;8.231234, -73.357789;Municipal;Arquitectura para la industria;Inmueble;8.231.234;-73.357.789;;1700;Inmuebles localizados en áreas consolidadas;;;;;
IM9;Plazuela de San Agustín;-73.353160, 8.238705;8.238705, -73.353160;Departamental;Patrimonio Urbano;Inmueble;8.238.705;-73.353.160;2003;1917;Decreto 1144 de 2003;;;IM9_Plazuela_San_Agustin;;
IM10;Templo de Santa Rita;-73.355845, 8.232779;8.232779, -73.355845;Departamental;Arquitectura Religiosa;Inmueble;8.232.779;-73.355.845;2003;1700;Decreto 1144 de 2003;;;IM10_Templo_Santa_Rita;;
